Booking_ID,stays_in_weekend_nights,stays_in_week_nights,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,avg_price_per_room,booking_status
INN00107,1,4,10,2017,11,2,Online,82.95,Not_Canceled
INN00108,1,3,0,2017,9,21,Online,155,Not_Canceled
INN00109,0,1,12,2018,6,30,Online,101.68,Not_Canceled
INN00110,2,1,32,2017,9,5,Online,94.5,Not_Canceled
INN00111,0,2,182,2018,9,30,Online,117.9,Canceled
INN00112,1,0,1,2018,6,27,Online,127,Not_Canceled
INN00113,0,3,122,2018,6,16,Online,116.1,Not_Canceled
INN00114,2,3,40,2018,6,30,Online,117.9,Not_Canceled
INN00115,2,2,116,2018,6,26,Online,184.24,Canceled
INN00116,2,2,123,2018,8,13,Online,155.7,Not_Canceled
INN00117,2,5,40,2018,4,22,Online,135.76,Canceled
INN00118,2,5,105,2018,11,12,Online,102.83,Not_Canceled
INN00119,0,1,443,2018,4,29,Online,65,Canceled
INN00120,2,3,2,2017,11,14,Online,103,Not_Canceled
INN00121,0,3,317,2018,9,1,Online,106.2,Canceled
INN00122,0,2,286,2018,9,16,Offline,58.5,Not_Canceled
INN00123,1,3,68,2018,3,10,Online,73.95,Canceled
INN00124,0,3,148,2018,5,5,Online,105.3,Not_Canceled
INN00125,2,0,68,2018,4,24,Online,133.2,Not_Canceled
INN00126,0,2,30,2018,3,30,Offline,85.5,Not_Canceled
INN00127,0,1,14,2018,11,3,Online,112,Canceled
INN00128,0,2,110,2018,10,14,Online,190.8,Canceled
INN00129,2,3,117,2018,6,5,Offline,110,Not_Canceled
INN00130,1,4,85,2018,7,13,Online,91.48,Not_Canceled
INN00131,0,2,1,2018,10,20,Online,135,Not_Canceled
INN00132,1,2,25,2018,10,17,Online,129,Not_Canceled
INN00133,2,4,289,2018,12,28,Online,70.55,Canceled
INN00134,1,4,28,2017,10,19,Offline,75,Not_Canceled
INN00135,0,4,80,2018,3,29,Online,72.25,Not_Canceled
INN00136,0,1,11,2017,10,9,Online,155,Not_Canceled
INN00137,1,0,162,2018,7,25,Online,121.5,Canceled
INN00138,2,5,155,2018,6,28,Online,90.95,Not_Canceled
INN00139,2,2,82,2018,5,22,Online,109.65,Not_Canceled
INN00140,2,4,27,2018,4,15,Online,142.72,Canceled
INN00141,1,2,13,2018,5,9,Offline,90,Not_Canceled
INN00142,0,2,245,2018,6,17,Online,75,Canceled
INN00143,0,2,11,2018,11,18,Online,111,Canceled
INN00144,2,2,266,2018,10,30,Online,86.7,Not_Canceled
INN00145,1,0,39,2018,3,28,Online,117.9,Not_Canceled
INN00146,0,2,13,2018,6,1,Complementary,0,Not_Canceled
INN00147,0,4,112,2018,5,4,Online,101.58,Not_Canceled
INN00148,1,2,88,2018,4,8,Online,58.9,Not_Canceled
INN00149,0,1,56,2018,6,8,Offline,120,Not_Canceled
INN00150,2,3,73,2018,4,7,Online,107.1,Canceled
INN00151,1,1,80,2018,5,2,Online,126.9,Not_Canceled
INN00152,0,3,130,2018,9,29,Online,139.5,Canceled
INN00153,1,3,69,2018,4,4,Online,80.75,Not_Canceled
INN00154,0,2,273,2017,7,17,Online,109,Canceled
INN00155,0,1,55,2018,4,6,Offline,104,Not_Canceled
INN00156,0,3,4,2018,11,1,Corporate,65,Not_Canceled
INN00157,0,3,97,2018,5,24,Online,140.4,Not_Canceled
INN00158,0,3,44,2018,2,17,Offline,75,Not_Canceled
INN00159,0,1,31,2018,4,14,Online,94.5,Canceled
INN00160,1,0,0,2018,6,5,Online,109,Not_Canceled
INN00161,2,2,62,2018,11,12,Online,105,Not_Canceled
INN00162,2,2,86,2018,4,17,Online,107.95,Not_Canceled
INN00163,2,2,3,2018,10,7,Online,215.6,Not_Canceled
INN00164,1,1,197,2018,8,1,Online,85.5,Not_Canceled
INN00165,0,2,143,2018,7,12,Online,105.3,Not_Canceled
INN00166,2,1,23,2018,1,2,Online,1,Not_Canceled
INN00167,0,2,8,2018,6,15,Online,156,Canceled
INN00168,0,2,13,2018,11,16,Online,73.15,Not_Canceled
INN00169,1,2,280,2018,9,19,Online,110,Canceled
INN00170,1,0,11,2017,9,13,Online,87.4,Not_Canceled
INN00171,0,2,317,2018,9,15,Online,120,Canceled
INN00172,1,2,185,2018,12,16,Online,79.2,Canceled
INN00173,1,3,160,2018,6,30,Online,90.95,Not_Canceled
INN00174,0,4,104,2018,10,18,Online,91.48,Not_Canceled
INN00175,0,1,11,2018,11,5,Online,150,Canceled
INN00176,0,1,2,2018,3,22,Online,89,Not_Canceled
INN00177,1,4,14,2018,8,17,Online,91.43,Not_Canceled
INN00178,0,2,22,2018,5,20,Offline,140,Not_Canceled
INN00179,2,5,37,2017,10,24,Online,87.78,Not_Canceled
INN00180,0,2,292,2018,7,21,Online,115,Canceled
INN00181,0,3,11,2017,9,9,Online,80.85,Not_Canceled
INN00182,1,3,86,2018,3,31,Online,82.45,Not_Canceled
INN00183,0,1,109,2018,10,11,Online,108,Canceled
INN00184,1,1,72,2018,4,2,Online,96.3,Not_Canceled
INN00185,1,5,196,2018,8,22,Online,99.45,Canceled
INN00186,0,2,56,2018,5,13,Online,140.4,Not_Canceled
INN00187,1,3,189,2018,8,8,Offline,72.25,Not_Canceled
INN00188,1,4,126,2018,8,15,Online,126,Not_Canceled
INN00189,2,3,303,2018,8,19,Online,78,Canceled
INN00190,2,2,81,2018,11,6,Online,146.6,Not_Canceled
INN00191,1,2,54,2018,10,10,Online,118.8,Canceled
INN00192,0,1,15,2018,10,6,Online,145,Canceled
INN00193,0,4,86,2018,4,6,Online,84.58,Canceled
INN00194,1,2,161,2018,3,25,Online,130,Canceled
INN00195,4,10,147,2018,8,3,Online,118.88,Canceled
INN00196,1,2,92,2018,5,30,Offline,101.52,Not_Canceled
INN00197,0,1,87,2017,9,11,Corporate,100,Canceled
INN00198,2,1,109,2018,3,20,Offline,58,Not_Canceled
INN00199,0,4,127,2018,3,23,Offline,61.5,Not_Canceled
INN00200,1,2,418,2018,9,26,Online,107,Canceled
INN00201,1,4,156,2018,8,24,Online,87.3,Not_Canceled
INN00202,0,2,80,2017,7,16,Online,76.5,Canceled
INN00203,2,2,211,2018,12,16,Online,63.75,Canceled
INN00204,1,2,273,2018,5,13,Online,95,Canceled
INN00205,2,1,58,2018,11,19,Offline,75,Not_Canceled
INN00206,0,3,433,2018,9,8,Online,70,Canceled
INN00207,1,3,111,2018,5,2,Online,101.58,Not_Canceled
INN00208,2,3,34,2018,8,21,Offline,85,Not_Canceled
INN00209,2,4,17,2018,12,3,Online,98.39,Not_Canceled
INN00210,0,0,4,2018,2,27,Complementary,0,Not_Canceled
INN00211,0,3,6,2017,9,22,Online,106.07,Not_Canceled
INN00212,1,1,32,2018,7,18,Offline,105,Not_Canceled
INN00213,0,1,4,2017,9,22,Online,145,Not_Canceled
INN00214,2,1,195,2018,8,13,Online,106.03,Canceled
INN00215,2,2,119,2018,8,13,Online,114.3,Not_Canceled
INN00216,1,1,13,2018,12,5,Online,88,Not_Canceled
INN00217,0,2,59,2017,10,15,Online,89.25,Not_Canceled
INN00218,2,5,78,2018,3,20,Online,86.32,Not_Canceled
INN00219,0,3,335,2018,10,13,Offline,90,Not_Canceled
INN00220,2,5,103,2017,8,22,Online,55.96,Not_Canceled
INN00221,0,2,0,2018,6,8,Online,109,Not_Canceled
INN00222,0,1,118,2018,3,1,Offline,86,Not_Canceled
INN00223,1,5,56,2018,9,5,Online,118.95,Not_Canceled
INN00224,0,2,107,2018,6,10,Offline,130,Not_Canceled
INN00225,1,3,70,2018,4,14,Online,90.56,Not_Canceled
INN00226,0,2,76,2018,4,1,Online,87.3,Not_Canceled
INN00227,2,2,144,2018,5,27,Online,177.65,Canceled
INN00228,2,2,4,2017,9,19,Online,200.75,Not_Canceled
INN00229,0,2,15,2018,3,18,Online,127,Not_Canceled
INN00230,1,2,32,2018,2,5,Online,72.9,Canceled
INN00231,1,1,49,2018,5,7,Online,159.3,Canceled
INN00232,1,3,77,2018,5,12,Online,135.15,Not_Canceled
INN00233,0,2,22,2018,10,28,Offline,90,Not_Canceled
INN00234,1,0,0,2017,10,18,Online,114,Not_Canceled
INN00235,0,1,58,2018,6,21,Online,125.1,Not_Canceled
INN00236,2,6,4,2017,8,14,Online,95.13,Not_Canceled
INN00237,0,2,117,2018,4,29,Online,105.84,Canceled
INN00238,1,3,36,2018,12,26,Online,102,Canceled
INN00239,2,2,35,2018,12,2,Online,74.8,Not_Canceled
INN00240,1,0,31,2018,4,24,Online,94.5,Canceled
INN00241,2,4,79,2018,6,16,Online,120.6,Not_Canceled
INN00242,1,2,1,2017,10,9,Online,139.33,Not_Canceled
INN00243,0,2,21,2017,9,3,Online,105,Not_Canceled
INN00244,0,2,12,2018,9,14,Corporate,100,Not_Canceled
INN00245,1,0,33,2018,2,8,Online,80.3,Not_Canceled
INN00246,0,2,164,2017,10,2,Offline,100,Not_Canceled
INN00247,0,3,78,2018,3,24,Online,105.3,Not_Canceled
INN00248,0,4,18,2018,5,31,Online,112.8,Canceled
INN00249,1,2,21,2018,8,15,Online,151,Canceled
INN00250,1,3,0,2017,11,9,Online,91,Not_Canceled
INN00251,2,1,152,2018,8,13,Online,146.7,Canceled
INN00252,2,3,43,2017,10,2,Offline,58.4,Not_Canceled
INN00253,0,4,177,2018,7,26,Online,80.75,Canceled
INN00254,1,1,47,2018,5,21,Offline,76.5,Not_Canceled
INN00255,0,3,57,2018,9,7,Online,140.13,Not_Canceled
INN00256,2,4,60,2017,11,15,Online,76,Not_Canceled
INN00257,0,1,0,2017,9,16,Online,200,Not_Canceled
INN00258,0,2,102,2017,10,16,Online,101.5,Canceled
INN00259,0,3,71,2018,10,18,Online,108,Not_Canceled
INN00260,2,3,111,2018,7,23,Online,189,Not_Canceled
INN00261,1,1,1,2018,6,11,Online,166,Not_Canceled
INN00262,1,1,4,2018,1,16,Online,67.5,Not_Canceled
INN00263,1,3,25,2017,9,14,Online,78.54,Not_Canceled
INN00264,2,2,209,2018,11,6,Online,152.1,Canceled
INN00265,2,1,93,2018,10,15,Online,115,Canceled
INN00266,2,5,53,2017,9,2,Online,66.53,Not_Canceled
INN00267,0,2,1,2017,8,12,Complementary,0,Not_Canceled
INN00268,2,1,4,2017,8,23,Complementary,0,Not_Canceled
INN00269,0,3,302,2018,12,29,Online,90.3,Canceled
INN00270,0,2,122,2018,4,15,Offline,85,Not_Canceled
INN00271,0,1,16,2018,3,11,Corporate,75,Not_Canceled
INN00272,2,4,28,2018,8,28,Online,115.37,Canceled
INN00273,1,2,161,2018,3,25,Online,130,Canceled
INN00274,0,2,57,2018,12,9,Online,126,Not_Canceled
INN00275,1,0,19,2018,6,12,Online,94.35,Not_Canceled
INN00276,2,4,109,2018,7,6,Online,118.46,Not_Canceled
INN00277,0,2,239,2018,6,15,Online,90.6,Canceled
INN00278,2,1,33,2018,3,5,Online,82.9,Not_Canceled
INN00279,0,3,11,2017,8,18,Online,95.33,Not_Canceled
INN00280,2,5,40,2018,4,21,Online,135.64,Not_Canceled
INN00281,1,1,45,2018,6,18,Offline,122.4,Not_Canceled
INN00282,1,3,41,2018,5,9,Online,116.1,Canceled
INN00283,0,4,167,2018,6,28,Online,62.18,Canceled
INN00284,0,4,62,2018,3,9,Online,63.75,Canceled
INN00285,1,4,113,2018,9,7,Online,118.8,Canceled
INN00286,0,2,1,2018,8,10,Online,167,Not_Canceled
INN00287,2,2,84,2018,5,13,Online,187.85,Not_Canceled
INN00288,2,2,68,2018,4,24,Online,108.38,Canceled
INN00289,0,1,9,2018,9,7,Complementary,0,Not_Canceled
INN00290,1,2,245,2018,10,28,Online,128.7,Canceled
INN00291,1,3,80,2018,3,17,Online,80.33,Not_Canceled
INN00292,1,1,7,2018,8,22,Online,140,Canceled
INN00293,1,1,128,2017,8,8,Online,76.5,Not_Canceled
INN00294,2,1,100,2018,5,1,Online,105.3,Not_Canceled
INN00295,2,1,118,2018,4,3,Online,87.3,Canceled
INN00296,0,3,166,2018,11,1,Online,110,Canceled
INN00297,0,1,41,2017,9,4,Offline,83,Not_Canceled
INN00298,2,2,174,2018,8,13,Online,99.45,Not_Canceled
INN00299,2,1,27,2017,12,27,Offline,104.5,Not_Canceled
INN00300,2,6,2,2018,11,16,Online,92.54,Not_Canceled
INN00301,0,3,37,2018,10,13,Offline,95,Not_Canceled
INN00302,0,2,188,2018,6,15,Online,130,Canceled
INN00303,2,1,68,2018,1,2,Offline,63,Not_Canceled
INN00304,1,2,189,2018,10,28,Online,109.8,Canceled
INN00305,1,0,10,2018,5,16,Online,103,Not_Canceled
INN00306,2,1,19,2018,2,20,Online,130,Not_Canceled
INN00307,0,2,61,2018,3,23,Online,117,Canceled
INN00308,0,4,95,2017,12,29,Offline,60.5,Not_Canceled
INN00309,0,1,83,2017,9,30,Offline,112.2,Not_Canceled
INN00310,1,3,37,2018,8,1,Online,135.9,Canceled
INN00311,1,0,19,2018,7,25,Online,151,Canceled
INN00312,0,2,22,2018,9,16,Online,239,Not_Canceled
INN00313,2,1,22,2017,12,26,Online,59.09,Not_Canceled
INN00314,2,5,151,2018,7,9,Online,103.09,Canceled
INN00315,2,1,26,2018,2,28,Offline,87,Not_Canceled
INN00316,1,0,27,2018,4,17,Online,137,Canceled
INN00317,0,2,79,2018,6,24,Offline,109,Not_Canceled
INN00318,1,1,247,2018,6,6,Online,115,Canceled
INN00319,2,3,189,2018,7,17,Online,99.45,Not_Canceled
INN00320,0,2,320,2018,8,18,Online,115,Canceled
INN00321,1,2,27,2018,2,22,Online,130,Not_Canceled
INN00322,1,0,51,2018,5,22,Corporate,65,Not_Canceled
INN00323,0,2,245,2018,6,17,Online,75,Canceled
INN00324,1,2,52,2018,7,8,Online,132.9,Canceled
INN00325,2,0,13,2017,10,18,Online,120,Not_Canceled
INN00326,0,2,46,2018,11,11,Online,79.2,Canceled
INN00327,2,1,84,2018,8,28,Online,159.3,Canceled
INN00328,0,2,188,2018,6,15,Online,130,Canceled
INN00329,0,3,19,2017,10,6,Offline,90,Not_Canceled
INN00330,0,2,67,2018,5,27,Online,140.4,Not_Canceled
INN00331,0,1,0,2017,8,11,Online,75,Not_Canceled
INN00332,0,2,273,2017,7,17,Online,109,Canceled
INN00333,2,1,110,2017,7,25,Online,94.5,Canceled
INN00334,0,1,0,2017,12,15,Corporate,75,Not_Canceled
INN00335,1,2,32,2017,10,23,Offline,75,Not_Canceled
INN00336,2,1,282,2017,10,10,Offline,76.67,Not_Canceled
INN00337,2,2,38,2018,10,2,Online,126,Not_Canceled
INN00338,1,1,175,2018,7,23,Online,85.5,Not_Canceled
INN00339,0,3,143,2018,8,18,Online,140.7,Canceled
INN00340,2,2,127,2018,6,26,Online,103.7,Not_Canceled
INN00341,0,1,0,2017,9,8,Online,142,Not_Canceled
INN00342,2,5,95,2018,12,21,Online,103.7,Not_Canceled
INN00343,1,2,118,2018,6,6,Offline,110,Not_Canceled
INN00344,0,3,45,2018,11,10,Offline,75,Not_Canceled
INN00345,1,1,69,2018,7,25,Online,137.7,Not_Canceled
INN00346,0,1,57,2018,9,7,Online,87.3,Not_Canceled
INN00347,0,2,5,2018,8,24,Complementary,0,Not_Canceled
INN00348,0,2,39,2017,8,14,Offline,101.5,Not_Canceled
INN00349,0,1,0,2018,2,24,Online,97,Not_Canceled
INN00350,1,1,89,2018,8,15,Online,150.3,Not_Canceled
INN00351,0,4,85,2018,3,29,Online,82.45,Not_Canceled
INN00352,0,1,4,2018,7,1,Corporate,103,Not_Canceled
INN00353,2,6,11,2018,7,5,Online,145,Canceled
INN00354,1,1,12,2018,7,11,Online,145,Not_Canceled
INN00355,2,2,77,2018,5,14,Online,134.85,Not_Canceled
INN00356,1,1,14,2018,10,22,Online,168.25,Not_Canceled
INN00357,2,1,1,2018,2,28,Online,60,Canceled
INN00358,1,3,133,2018,6,13,Offline,76,Not_Canceled
INN00359,1,2,3,2017,8,10,Offline,63.5,Not_Canceled
INN00360,2,0,19,2018,9,18,Offline,95,Not_Canceled
INN00361,2,2,86,2018,9,3,Offline,90.95,Not_Canceled
INN00362,0,2,23,2017,10,16,Online,98.4,Not_Canceled
INN00363,0,1,65,2018,9,22,Online,135.9,Not_Canceled
INN00364,0,2,1,2018,11,16,Online,130,Not_Canceled
INN00365,0,1,66,2017,11,19,Online,81.9,Not_Canceled
INN00366,1,4,50,2018,2,22,Online,78.85,Not_Canceled
INN00367,2,3,87,2018,6,26,Online,141.3,Canceled
INN00368,1,1,159,2018,4,9,Offline,70,Not_Canceled
INN00369,2,3,39,2018,8,13,Online,170.1,Not_Canceled
INN00370,2,0,386,2018,10,23,Online,115,Canceled
INN00371,0,5,22,2017,12,29,Online,199,Not_Canceled
INN00372,2,2,102,2018,7,10,Offline,82.45,Not_Canceled
INN00373,0,3,86,2018,10,20,Online,192.86,Not_Canceled
INN00374,2,2,56,2017,9,25,Offline,185,Not_Canceled
INN00375,2,6,36,2018,12,10,Online,68.07,Not_Canceled
INN00376,0,3,50,2018,10,4,Online,118.8,Not_Canceled
INN00377,0,2,115,2018,10,27,Online,104.4,Canceled
INN00378,0,1,0,2018,3,23,Corporate,65,Not_Canceled
INN00379,1,3,35,2018,3,3,Online,71.1,Canceled
INN00380,2,1,17,2018,5,21,Offline,95,Not_Canceled
INN00381,4,11,237,2018,9,13,Online,116.62,Canceled
INN00382,0,4,125,2018,9,7,Online,136,Not_Canceled
INN00383,2,2,32,2018,12,2,Online,147.9,Canceled
INN00384,2,0,5,2018,9,18,Offline,123.7,Not_Canceled
INN00385,2,1,91,2018,6,19,Online,135.9,Canceled
INN00386,0,2,102,2017,10,16,Offline,109,Not_Canceled
INN00387,2,1,9,2018,3,20,Online,186,Not_Canceled
INN00388,1,3,155,2018,12,26,Online,115.6,Canceled
INN00389,0,1,0,2018,5,14,Online,221,Canceled
INN00390,0,3,11,2017,9,15,Corporate,65,Not_Canceled
INN00391,0,1,0,2018,2,19,Corporate,80,Not_Canceled
INN00392,1,4,86,2018,3,23,Offline,73.83,Not_Canceled
INN00393,0,1,18,2018,10,18,Corporate,67,Not_Canceled
INN00394,0,2,58,2018,3,4,Online,80.3,Not_Canceled
INN00395,2,1,54,2018,4,30,Offline,85,Not_Canceled
INN00396,2,3,25,2018,7,23,Online,152.1,Canceled
INN00397,0,2,107,2017,9,9,Online,89.25,Not_Canceled
INN00398,0,4,100,2018,9,28,Offline,110,Not_Canceled
INN00399,1,2,273,2018,5,13,Online,95,Canceled
INN00400,0,1,29,2018,3,18,Online,79,Not_Canceled
INN00401,0,1,221,2018,8,12,Online,80,Canceled
INN00402,2,2,213,2018,10,1,Online,102.85,Canceled
INN00403,1,2,198,2018,9,9,Online,90,Canceled
INN00404,1,2,81,2018,1,29,Online,62.37,Not_Canceled
INN00405,0,1,23,2018,4,8,Online,98,Not_Canceled
INN00406,0,3,26,2017,9,17,Online,117.67,Canceled
INN00407,2,1,20,2018,6,18,Online,141,Not_Canceled
INN00408,1,3,124,2018,12,26,Online,156.61,Canceled
INN00409,0,3,85,2018,8,3,Online,152.1,Canceled
INN00410,0,1,167,2018,8,6,Online,105.3,Canceled
INN00411,1,3,71,2018,5,30,Online,119.85,Not_Canceled
INN00412,0,2,48,2018,11,4,Online,97.2,Not_Canceled
INN00413,0,1,37,2018,5,13,Online,116.1,Not_Canceled
INN00414,2,2,76,2018,5,29,Online,150.45,Canceled
INN00415,0,1,13,2018,1,20,Offline,71,Not_Canceled
INN00416,1,0,3,2018,6,27,Complementary,0,Not_Canceled
INN00417,1,2,75,2017,12,7,Offline,60,Not_Canceled
INN00418,0,1,5,2018,4,5,Corporate,89,Not_Canceled
INN00419,2,0,386,2018,10,23,Online,115,Canceled
INN00420,1,1,180,2018,5,2,Offline,100,Not_Canceled
INN00421,1,3,122,2018,11,14,Online,75.9,Canceled
INN00422,1,2,224,2017,10,2,Offline,65,Not_Canceled
INN00423,2,2,24,2018,5,29,Online,104.55,Not_Canceled
INN00424,2,2,162,2018,10,14,Online,115,Canceled
INN00425,1,1,25,2018,7,2,Online,187,Canceled
INN00426,0,1,1,2018,8,4,Online,115,Not_Canceled
INN00427,0,4,236,2018,9,27,Online,84.43,Canceled
INN00428,2,3,120,2018,4,8,Online,90.95,Canceled
INN00429,1,3,12,2018,3,24,Online,208,Not_Canceled
INN00430,2,4,224,2018,9,3,Online,97.18,Canceled
INN00431,0,4,33,2017,10,21,Offline,79.11,Not_Canceled
INN00432,0,2,24,2018,5,13,Complementary,0,Not_Canceled
INN00433,0,1,22,2017,9,8,Online,120,Not_Canceled
INN00434,0,3,10,2017,10,20,Online,126,Not_Canceled
INN00435,0,2,15,2018,2,16,Online,91,Canceled
INN00436,0,5,230,2018,9,6,Online,137,Canceled
INN00437,0,4,54,2018,3,16,Offline,67.32,Not_Canceled
INN00438,0,1,45,2017,10,23,Online,81.62,Not_Canceled
INN00439,1,3,63,2018,10,24,Online,123.66,Not_Canceled
INN00440,2,1,166,2018,8,6,Online,94.5,Not_Canceled
